,Feature,Mean,Median,Std Dev,Q1,Q3,IQR,LB,UB,Outlier Count
0,index,96609.56123,85920.5,65944.79897374561,43129.75,138009.0,94879.25,-99189.125,280327.875,0
1,CRSDepTime,1338.65532,1330.0,495.44735812851667,911.0,1745.0,834.0,-340.0,2996.0,0
2,DepTime,1333.7667721045195,1334.3739312789533,429.55332055105185,1051.0,1604.0,553.0,221.5,2433.5,483
3,DepDelayMinutes,16.350298882933874,5.0,45.43650258796585,0.0,16.014938010113134,16.014938010113134,-24.0224070151697,40.03734502528283,8050
4,ArrTime,1456.6617992066058,1457.8860179576584,458.98218798687753,1223.0,1729.0,506.0,464.0,2488.0,2523
5,ArrDelayMinutes,15.841577105155276,6.0,44.24318301714051,0.0,15.783071426615928,15.783071426615928,-23.674607139923893,39.45767856653982,7871
6,Flight_Number_Marketing_Airline,2616.61095,2274.0,1768.5384007792698,1130.0,4008.0,2878.0,-3187.0,8325.0,5
7,OriginAirportID,12623.39883,12478.0,1510.8571456884579,11292.0,13930.0,2638.0,7335.0,17887.0,0
8,DestAirportID,12622.76332,12478.0,1507.9373824448314,11292.0,13930.0,2638.0,7335.0,17887.0,0
9,TaxiOut,17.027525249356945,16.973750218674443,8.188568726297097,13.0,17.0,4.0,7.0,23.0,11284
10,TaxiIn,7.890958931127053,7.89438695664929,5.631576055100218,5.0,8.0,3.0,0.5,12.5,9055
11,CRSArrTime,1496.61739,1524.0,523.9666638157754,1103.0,1932.0,829.0,-140.5,3175.5,0
